epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,20497.9,1.02634,0.97219,0.00766,0.62653,0.58247,0.58502,0.4126,1.1194,1.52967,0.01353,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,20772.7,1.00783,0.96004,0.00752,0.62061,0.59547,0.58652,0.41387,1.11846,1.55501,0.01349,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,21047.9,1.01365,0.95836,0.00747,0.62245,0.59272,0.58727,0.41481,1.11866,1.54576,0.01344,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,21321.5,1.01124,0.94274,0.00755,0.62065,0.58433,0.58881,0.4143,1.12086,1.55573,0.0134,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,21595.6,1.00545,0.92626,0.0074,0.61419,0.5938,0.58898,0.41381,1.12337,1.56461,0.01345,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,21869.8,1.00743,0.94474,0.0075,0.60772,0.58334,0.58802,0.41399,1.11587,1.56848,0.01336,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,22145.6,0.99967,0.93363,0.00746,0.62367,0.57379,0.58206,0.41291,1.11495,1.56591,0.01336,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,22419.6,0.99438,0.92854,0.00748,0.62244,0.57552,0.58295,0.41422,1.10868,1.57935,0.01321,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,22693.2,0.98983,0.92031,0.00738,0.62078,0.58916,0.58402,0.41382,1.11131,1.57471,0.01321,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,22966.6,0.98327,0.9064,0.00729,0.6152,0.58356,0.58702,0.41756,1.10675,1.58772,0.01313,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,23241.5,0.98381,0.89922,0.00725,0.63269,0.57553,0.58782,0.41992,1.09902,1.57815,0.01308,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,23516.4,0.9817,0.90372,0.00723,0.606,0.59797,0.58587,0.41869,1.10509,1.58899,0.01319,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,23790.6,0.97409,0.89022,0.0072,0.61739,0.59142,0.58533,0.41865,1.10515,1.59358,0.01323,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,24065.6,0.96681,0.88789,0.0071,0.61538,0.59332,0.58645,0.41874,1.10137,1.59892,0.01319,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,24341.2,0.96756,0.88685,0.00715,0.6119,0.59822,0.58187,0.41506,1.09926,1.61352,0.01318,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,24615.3,0.96209,0.89143,0.00714,0.61118,0.59642,0.58104,0.41467,1.103,1.62208,0.01329,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,24888.7,0.96172,0.87376,0.00711,0.61327,0.59705,0.58004,0.41393,1.10532,1.63244,0.01321,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
